topic,question,option_a,option_b,option_c,option_d,correct_answer
Polity,"Consider the following statements in the context interventions being undertaken
under Anaemia Mukt Bharat Strategy :
1. It provides prophylactic calcium supplementation for pre-school children,
adolescents and pregnant women.
2. It runs a campaign for delayed cord clamping at the time of child-birth.
3. It provides for periodic deworming to children and adolescents.
4. It addresses non-nutritional causes of anaemia in endemic pockets with special
focus on malaria, hemoglobinopathies and fluorosis.
How many of the statements given above are correct?",Only one,Only two,Only three,All four,c
Polity,"Consider the following statements :
1. The Self-Help Group (SHG) programme was originally initiated by the State Bank
of India by providing microcredit to the financially deprived.
2. In an SHG, all members of a group take responsibility for a loan that an individual
member takes.
3. The Regional Rural Banks and Scheduled Commercial Banks support SHGs.
How many of the above statements are correct?",Only one,Only two,All three,,b
Polity,"Consider the following statements :
1. Statement-I : India's public sector health care system largely focuses on curative
care with limited preventive, promotive and rehabilitative care.
2. Statement-II : Under India's decentralized approach to health care delivery, the
States are primarily responsible for organizing health services.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,d
Polity,"Consider the following statements :
1. According to the Constitution of India, the Central Government has a duty to
protect States from internal disturbances.
2. The Constitution of India exempts the States from providing legal counsel to a
person being held for preventive detention.
3. According the Prevention of Terrorism Act, 2002, confession of the accused before
the police cannot be used as evidence.
How many of the above statement are correct?",Only one,Only two,All three,,a
Polity,"Consider the following statements in respect of election to the President of India :
1. The members nominated to either House of the Parliament or the Legislative
Assemblies of States are also eligible to be included in the Electoral College.
2. Higher the number of elective Assembly seats, higher is the value of vote of each
MLA of that State.
3. The value of vote of each MLA of Madhya Pradesh is greater than that of Kerala.
4. The value of vote of each MLA of Puducherry is higher than that of Arunachal
Pradesh because the ratio of total population to total number of elective seats in
Puducherry is greater as compared to Arunachal Pradesh.
How many of the above statements are correct?",Only one,Only two,Only three,All four,a
Polity,"Consider the following countries:
1. Armenia
2. Azerbaijan
3. Croatia
4. Romania
5. Uzbekistan
Which of the above are members of the Organization of Turkic States?","1, 2 and 4",1 and 3,2 and 5,"3, 4 and 5",c
Polity,"In India, which one of the following compiles information on industrial disputes,
closures, retrenchments and lay-offs in factories employing workers?",Central Statistics Office,Department for Promotion of Industry and Internal Trade,Labour Bureau,National Technical Information System Manpower,c
Polity,"In India, what is the role of the Coal Controller's Organization (CCO)?
1. CCO is the major source of Coal. Statistics in Government of India.
2. It monitors progress of development of Captive Coal/Lignite blocks.
3. It hears any objection to the Government's notification relating to acquisition of
coal-bearing areas.
4. It ensures that coal mining companies deliver the coal to end users in the prescribed
time.
Select the correct answer using the code given below:","1, 2 and 3",3 and 4 only,1 and 2 only,"1, 2 and 4",a
Polity,"If a particular area is brought under the Fifth Schedule of the Constitution of India,
which one of the following statements best reflects the consequence of it?",This would prevent the transfer of land of tribal people to non-tribal people.,This would create a local self-governing body in that area.,This would convert that area into a Union Territory.,The State having such areas would be declared a Special Category State.,a
Polity,"Consider the following statements:
1. The India Sanitation Coalition is a platform to promote sustainable sanitation and is
funded by the Government of India and the World Health Organization.
2. The National Institute of Urban Affairs is an apex body of the Ministry of Housing and
Urban Affairs in Government of India and provides innovative solutions to address the
challenges of Urban India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"With reference to the ""United Nations Credentials Committee"", consider the following
statements:
1. It is a committee set up by the UN Security Council and works under its supervision.
2. It traditionally meets in March, June and September every year.
3. It assesses the credentials of all UN members before submitting a report to the General
Assembly for approval.
Which of the statements given above is/are correct?",3 only,1 and 3,2 and 3,1 and 2,a
Polity,Which one of the following statements best describes the 'Polar Code'?,It is the international code of safety for ships operating in polar waters.,"It is the agreement of the countries around the North Pole regarding the demarcation of
their territories in the polar region.","It is a set of norms to be followed by the countries whose scientists undertake research
studies in the North Pole and South Pole.",It is a trade and security agreement of the member countries of the Arctic Council.,a
Polity,"With reference to the United Nations General Assembly, consider the following
statements:
1. The UN General Assembly can grant observer status to the non-member States.
2. Inter-governmental organisations can seek observer status in the UN General
Assembly.
3. Permanent Observers in the UN General Assembly can maintain missions at the UN
headquarters.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a
Polity,"With reference to the ""Tea Board"" in India, consider the following statements:
1. The Ten Board is a statutory body.
2. It is a regulatory body attached to the Ministry of Agriculture and Farmers Welfare.
3. The Tea Board's Head Office is situated in Bengaluru.
4. The Board has overseas offices at Dubai and Moscow.
Which of the statements given above are correct?",1 and 3,2 and 4,3 and 4,1 and 4,d
Polity,"Consider the following statements:
1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was
passed.
2. The Constitution of India empowers the Supreme Court and the High Courts to punish
for contempt of themselves.
3. The Constitution of India defines Civil Contempt and Criminal Contempt.
4. In India, the Parliament is vested with the powers to make laws on Contempt of Court.
Which of the statements given above is/are correct?",1 and 2 only,"1, 2 and 4",3 and 4 only,3 only,b
Polity,"With reference to India, consider the following statements:
1. Government law officers and legal firms are recognised as advocates, but corporate
lawyers and patent attorneys are excluded from recognition as advocates.
2. Bar Councils have the power to lay down the rules relating to legal education and
recognition of law colleges.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements:
1. A bill amending the Constitution requires a prior recommendation of the President of
India.
2. When a Constitution Amendment Bill is presented to the President of India, it is
obligatory for the President of India to give his/her assent.
3. A Constitution Amendment Bill must be passed by both the Lok Sabha and the Rajya
Sabha by a special majority and there is no provision for joint sitting.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Polity,"Consider the following statements:
1. The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister,
Minister of State with Independent Charge, Minister of State and Deputy Minister.
2. The total number of ministers in the Union Government, including the Prime Minister,
shall not exceed 15 percent of the total number of members in the Lok Sabha.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Which of the following is/are the exclusive power(s) of Lok Sabha?
1. To ratify the declaration of Emergency
2. To pass a motion of no-confidence against the Council of Ministers
3. To impeach the President of India
Select the correct answer using the code given below:",1 and 2,2 only,1 and 3,3 only,b
Polity,"With reference to anti-defection law in India, consider the following statements?
1. The law specifies that a nominated legislator cannot join any political party within six
months of being appointed to the House.
2. The law does not provide any time-frame within which the presiding officer has to
decide a defection case.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements:
1. Attorney General of India and Solicitor General of India are the only officers of the
Government who are allowed to participate in the meetings of the Parliament of India.
2. According to the Constitution of India, the Attorney General of India submits his
resignation when the Government which appointed him resigns.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"With reference to the writs issued by the Courts in India, consider the following
statements:
1. Mandamus will not lie against a private organisation unless it is entrusted with a public
duty.
2. Mandamus will not lie against a Company even though it may be a Government
Company.
3. Any public minded person can be a petitioner to move the Court to obtain the writ of
Quo Warranto.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c
Polity,"With reference to Ayushman Bharat Digital Mission, consider the following
statements:
1. Private and public hospitals must adopt it.
2. As it aims to achieve universal, health coverage, every citizen of India should be part of
it ultimately.
3. It has seamless portability across the country.
Which of the statements given above is/are correct?",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",b
Polity,"With reference to Deputy Speaker of Lok Sabha, consider the following statements:
1. As per the Rules of Procedure and Conduct of Business in Lok Sabha, the election of
Deputy Speaker shall be held on such date as the Speaker may fix.
2. There is a mandatory provision that the election of a candidate as Deputy Speaker of
Lok Sabha shall be from either the principal opposition party or the ruling party.
3. The Deputy Speaker has the same power as of the Speaker when presiding over the
sitting of the House and no appeal lies against his rulings.
4. The well established parliamentary practice regarding the appointment of Deputy
Speaker is that the motion is moved by the Speaker and duly seconded by the Prime
Minister.
Which of the statements given above are correct?",1 and 3 only,"1, 2 and 3",3 and 4 only,2 and 4 only,a
Polity,"Under the Indian Constitution, concentration of wealth violates",the Right to Equality,the Directive Principles of State Policy,the Right to Freedom,the Concept of Welfare,b
Polity,What is the position of the Right to Property in India?,Legal right available to citizens only,Legal right available to any person,Fundamental Right available to citizens only,Neither Fundamental Right nor legal right,b
Polity,"What was the exact constitutional status of India on 26th January, 1950?",A Democratic Republic,A Sovereign Democratic Republic,A Sovereign Secular Democratic Republic,A Sovereign Socialist Secular Democratic Republic,b
Polity,Constitutional government means,a representative government of a nation with federal structure,a government whose Head enjoys nominal powers,a government whose Head enjoys real powers,a government limited by the terms of the Constitution,d
Polity,"With reference to India, the terms ‘HaIbi, Ho and Kui’ pertain to",dance forms of Northwest India,musical instruments,pre-historic cave paintings,tribal languages,d
Polity,"Consider the following statements in respect of Bharat Ratna and Padma Awards:
1. Bharat Ratna and Padma Awards are titles under the Article 18(1) of the
Constitution of India.
2. Padma Awards, which were instituted in the year 1954, were suspended only once.
3. The number of Bharat Ratna Awards is restricted to a maximum of five in a
particular year.
Which of the above statements are not correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Polity,"Consider the following statements in respect of the Laureus World Sports Award
which was instituted in the year 2000:
1. American golfer Tiger Woods was the first winner of this award.
2. The award was received mostly by ‘Formula One’ players so far.
3. Roger Federer received this award maximum number of times compared to others.
Which of the above statements are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c
Polity,"Consider the following statements in respect of the 32nd Summer Olympics:
1. The official motto for this Olympics is ‘A New World’.
2. Sport Climbing, Surfing, Skateboarding, Karate and Baseball are included in this
Olympics.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements in respect of the ICC World Test Championship:
1. The finalists were decided by the number of matches they won.
2. New Zealand was ranked ahead of England because it won more matches than
England.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"Consider the following statements:
1. ‘Right to the City’ is an agreed human right and the UN-Habitat monitors the
commitments made by each country in this regard.
2. ‘Right to the City’ gives every occupant of the city the right to reclaim public spaces
and public participation in the city.
3. Right to the City’ means that the State cannot deny any public service or facility to
the unauthorized colonies in the city.
Which of the statements given above is/are correct?",1 only,3 only,1 and 2,2 and 3,d
Polity,"With reference to India, consider the following statements:
1. Judicial custody means an accused is in the custody of the concerned magistrate
and such accused is locked up in a police station, not in jail.
2. During judicial custody, the police officer in charge of the case is not allowed to
interrogate the suspect without the approval of the court.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"With reference to India, consider the following statements:
1. When a prisoner makes out a sufficient case, parole cannot be denied to such
prisoner because it becomes a matter of his/her right.
2. State Governments have their own Prisoners Release on Parole Rules.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither I nor 2,b
Polity,"At the national level, which ministry is the nodal agency to ensure effective
implementation of the Scheduled Tribes and Other Traditional Forest Dwellers
Recognition of Forest Rights) Act, 2006?","Ministry of Environment, Forest and Climate Change",Ministry of Panchayati Raj,Ministry of Rural Development,Ministry of Tribal Affairs,d
Polity,"A legislation that confers on the executive or administrative authority an unguided
and uncontrolled discretionary power in the matter of the application of law violates which
one of the following Articles of the Constitution of India?",Article 14,Article 28,Article 32,Article 44,a
Polity,"Which one of the following in Indian polity is an essential feature that indicates that it
is federal in character?",The independence of judiciary is safeguarded.,The Union Legislature has elected representatives from constituent units.,The Union Cabinet can have elected representatives from regional parties.,The Fundamental Rights are enforceable by Courts of Law.,a
Polity,Which one of the following best defines the term ‘State’?,"A community of persons permanently occupying a definite territory independent of
external control and possessing an organized government","A politically organized people of a definite territory and possessing an authority to
govern them, maintain law and order, protect their natural rights and safeguard their
means of sustenance","A number of persons who have been living in a definite territory for a very long time
with their own culture, tradition and government","A society permanently living in a definite territory with a central authority, an executive
responsible to the central authority and an independent judiciary",a
Polity,"With reference to the Indian judiciary, consider the following statements:
1. Any retired judge of the Supreme Court of India can be called back to sit and act as
a Supreme Court judge by the Chief Justice of India with the prior permission of the
President of India.
2. A High Court in India has the power to review its own judgement as the Supreme
Court does.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"With reference to India, consider the following statements:
1. There is only one citizenship and one domicile.
2. A citizen by birth only can become the Head of State.
3. A foreigner once granted citizenship cannot be deprived of it under any
circumstances.
Which of the statements given above is/are correct?",1 only,2 only,1 and 3,2 and 3,a
Polity,"Which one of the following factors constitutes the best safeguard of liberty in a liberal
democracy?",A committed judiciary,Centralization of powers,Elected government,Separation of powers,d
Polity,"We adopted parliamentary democracy based on the British model, but how does our
model differ from that model?
1. As regards legislation, the British Parliament is supreme or sovereign but in India,
the power of the Parliament to legislate is limited.
2. In India, matters related to the constitutionality of Amendment of an Act of the
Parliament are referred to the Constitution Bench by the Supreme Court.
Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"With reference to the Union Government, consider the following statements:
1. N. Gopalaswamy Iyengar Committee suggested that a minister and a secretary be
designated solely for pursuing the subject of administrative reform and promoting
it.
2. In 1970, the Department of Personnel was constituted on the recommendation of
the Administrative Reforms Commission, 1966, and this was placed under the
Prime Minister’s charge.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,Right to Privacy’ is protected under which Article of the Constitution of India?,Article 15,Article 19,Article 21,Article 29,c
Polity,"Consider the following statements:
1. In India, there is no law restricting the candidates from contesting in one Lok
Sabha election from three constituencies.
2. In the 1991 Lok Sabha Election, Shri Devi Lal contested from three Lok Sabha
constituencies.
3. As per the existing rules, if a candidate contests in one Lok Sabha election from
many constituencies, his/her party should bear the cost of bye-elections to the
constituencies vacated by him/her winning in all the constituencies.
Which of the statements given above is/are correct?",1 only,2 only,1 and 3,"2 and 3
Correct answer: The above question was dropped by the Union Public Service
Commission in the final answer key.
2020
Q1. Consider the following statements:
1. 36% of India’s districts are classified as ‘overexploited’ or ‘critical’ by the Central
Ground Water Authority (CGW",b
Polity,In which one of the following groups are all the four countries members of G20?,"Argentina, Mexico, South Africa and Turkey","Australia, Canada, Malaysia and New Zealand","Brazil, Iran, Saudi Arabia and Vietnam","Indonesia, Japan, Singapore and South Korea",a
Polity,"Other than the Fundamental Rights, which of the following parts of the Constitution of
India reflect/reflects the principles and provisions of the Universal Declaration of Human
Rights (1948)?
1. Preamble
2. Directive Principles of State Policy
3. Fundamental Duties
Select the correct answer using the code given below:",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",d
Polity,"In India, Legal Services Authorities provide free legal services to which of the following
type of citizens?
1. Person with an annual income of less than Rs. 1,00,000
2. Transgender with an annual income of less than Rs. 2,00,000
3. Member of Other Backward Classes (OB","with an annual income of less than Rs.
3,00,000
4. All Senior Citizens
Select the correct answer using the code given below:",1 and 2 only,3 and 4 only,2 and 3 only,a
Polity,A constitutional government by definition is a,government by legislature,popular government,multi-party government,limited government,d
Polity,"Along with the Budget, the Finance Minister also places other documents before the
Parliament which include ‘The Macro Economic Framework Statement’. The aforesaid
document is presented because this is mandated by",Long standing parliamentary convention,Article 112 and Article 110(1) of the Constitution of India,Article 113 of the Constitution of India,"Provisions of the Fiscal Responsibility and Budget Management Act, 2003",d
Polity,"In India, separation of judiciary from the executive is enjoined by",the Preamble of the Constitution,a Directive Principle of State Policy,the Seventh Schedule,the conventional practice,a
Polity,"Which one of the following categories of Fundamental Rights incorporates protection
against untouchability as a form of discrimination?",Right against Exploitation,Right to Freedom,Right to Constitutional Remedies,Right to Equality,d
Polity,"With reference to the funds under Members of Parliament Local Area Development
Scheme (MPLADS), which of the following statements are correct?
1. MPLADS funds must be used to create durable assets like physical infrastructure
for health, education, etc.
2. A specified portion of each MP’s fund must benefit SC/ST populations.
3. MPLADS funds are sanctioned on a yearly basis and the unused funds cannot be
carried forward to the next year.
4. The district authority must inspect at least 10% of all works under implementation
every year.
Select the correct answer using the code given below:",1 and 2 only,3 and 4 only,"1, 2 and 3 only","1, 2 and 4 only",d
Polity,Rajya Sabha has equal powers with Lok Sabha in,the matter of creating new All India Services,amending the Constitution,the removal of the government,making cut motions,b
Polity,"Consider the following statements:
1. Aadhaar metadata cannot be stored for more than three months.
2. State cannot enter into any contract with private corporations for sharing Aadhaar
data.
3. Aadhaar is mandatory for obtaining insurance products.
4. Aadhaar is mandatory for getting benefits funded out of the Consolidated Fund of
India.
Which of the statements given above is/are correct?",1 and 4 only,2 and 4 only,3 only,"1, 2 and 3 only",b
Polity,"Consider the following statements:
1. The President of India can summon a session of the Parliament at such a place as
he/she thinks fit.
2. The Constitution of India provides for three sessions of the Parliament in a year,
but it is not mandatory to conduct all three sessions.
3. There is no minimum number of days that the Parliament is required to meet in a
year.
Which of the statements given above is/are correct?",1 only,2 only,1 and 3 only,2 and 3 only,c
Polity,"Consider the following statements:
1. According to the Constitution of India, a person who is eligible to vote can be made
a minister in a State for six months even if he/she is not a member of the
Legislature of that State.
2. According to the Representation of People Act, 1951, a person convicted of a
criminal offence and sentenced to imprisonment for five years is permanently
disqualified from contesting an election even after his release from prison.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"With reference to the provisions contained in Part IV of the Constitution of India,
which of the following statements is/are correct?
1. They shall be enforceable by courts.
2. They shall not be enforceable by any court.
3. The principles laid down in this part are to influence the making of laws by the
State.
Select the correct answer using the code given below:",1 only,2 only,1 and 3 only,2 and 3 only,d
Polity,"In the context of India, which one of the following is the characteristic appropriate for
bureaucracy?",An agency for widening the scope of parliamentary democracy,An agency for strengthening the structure of federalism,An agency for facilitating political stability and economic growth,An agency or the implementation of public policy,d
Polity,One common agreement between Gandhism and Marxism is,the final goal of a stateless society,class struggle,abolition of private property,economic determinism,a
Polity,"Consider the following statements:
1. The Constitution of India defines its ‘basic structure’ in terms of federalism,
secularism, fundamental rights and democracy.
2. The Constitution of India provides for ‘judicial review’ to safeguard the citizens’
liberties and to preserve the ideals on which the Constitution is based.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,Which part of the Constitution of India declares the ideal of Welfare State?,Directive Principles of State Policy,Fundamental Rights,Preamble,Seventh Schedule,a
Polity,A Parliamentary System of Government is one in which,all political parties in the Parliament are represented in the Government,the Government is responsible to the Parliament and can be removed by it,the Government is elected by the people and can be removed by them,"the Government is chosen by the Parliament but cannot be removed by it before
completion of a fixed term",b
Polity,Atal Innovation Mission is set up under the,Department of Science and Technology,Ministry of Labour and Employment,NITI Aayog,Ministry of Skill Development and Entrepreneurship,c
Polity,"Consider the following statements:
1. The 44th Amendment to the Constitution of India introduced an Article placing the
election of the Prime Minister beyond judicial review.
2. The Supreme Court of India struck down the 99th Amendment to the Constitution
of India as being violative of the independence of judiciary.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements:
1. The motion to impeach a Judge of the Supreme Court of India cannot be rejected
by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act 1968.
2. The Constitution of India defines and gives details or what constitutes ‘incapacity
and proved misbehaviour’ of the Judges of the Supreme Court of India.
3. The details of the process of impeachment of the Judges of the Supreme Court of
India are given in 4 the Judges (Inquiry) Act, 1968.
4. If the motion for the impeachment of a Judge is taken up for voting, the law
requires the motion to be backed by each House of the Parliament and supported
by a majority of total membership of that House and by not less than two-thirds of
total members of that House present and voting.
Which of the statements given above is/are correct?",1 and 2,3 only,3 and 4 only,"1, 3 and 4",c
Polity,"The Ninth Schedule was introduced in the Constitution of India during the prime
ministership of",Jawaharlal Nehru,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,a
Polity,"Consider the following statements:
1. The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts
from disqualification on the grounds of ‘Office of Profit’.
2. The above-mentioned Act was amended five times.
3. The term ‘Office of Profit’ is well-defined in the Constitution of India.
Which of the statements given above is/are correct?",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",a
Polity,"Under which Schedule of the Constitution of India can the transfer of tribal land to
private parties for mining be declared null and void?",Third Schedule,Fifth Schedule,Ninth Schedule,Twelfth Schedule,b
Polity,"Consider the following statements about Particularly Vulnerable Tribal Groups
PVTGs) in India:
PVTGs reside in 18 States and one Union Territory.
A stagnant or declining population is one of the criteria for determining PVTG status.
There are 95 PVTGs officially notified in the country so far.
Irular and Konda Reddi tribes are included in the list of PVTGs.
Which of the statements given above are correct?","1, 2 and 3","2, 3 and 4","1, 2 and 4","1, 3 and 4",c
Polity,"With reference to the Constitution of India, prohibitions or limitations or provisions
contained in ordinary laws cannot act as prohibitions or limitations on the constitutional
powers under Article 142. It could mean which one of the following?","The decisions taken by the. Election Commission of India while discharging its duties
cannot be challenged in any court of law.","The Supreme Court of India is not constrained in the exercise of its powers by the laws
made by Parliament.","In the event of grave financial crisis in the country, the President of India can declare
Financial Emergency without the counsel from the Cabinet.","State Legislatures cannot make laws on certain matters without the concurrence of
Union Legislature.",b
Polity,"With reference to the Legislative Assembly of a State in India, consider the following
statements:
1. The Governor makes a customary address to Members of the House at the
commencement of the first session of the year.
2. When a State Legislature does not have a rule on a particular matter, it follows the
Lok Sabha rule on that matter.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
