topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Modern History,"With reference to the history of India, consider the following pairs:
1. Aurang — In-charge of treasury of the State
2. Banian — Indian agent of the East India Company
3. Mirasidar — Designated revenue payer to the State
Which of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",b,hard
Modern History,"Which of the following statements correctly explains the impact of the Industrial
Revolution on India during the first half of the nineteenth century?",Indian handicrafts were ruined.,Machines were introduced in the Indian textile industry in large numbers.,Railways lines were laid in many parts of the country.,Heavy duties were imposed on the imports of British manufactures.,a,medium
Modern History,"With reference to the book ‘Desher Katha’ written by Sakharam Ganesh Deuskar
during the freedom struggle, consider the following statements:
1. It warned against the Colonial State's hypnotic conquest of the mind.
2. It inspired the performance of swadeshi street plays and folk songs.
3. The use of ‘desh’ by Deuskar was in the specific context of the region of
Bengal.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,hard
Modern History,"The Gandhi-Irwin Pact included which of the following?
1. Invitation to Congress to participate in the Round Table Conference
2. Withdrawal of Ordinances promulgated in connection with the Civil
Disobedience Movement
3. Acceptance of Gandhiji’s suggestion for enquiry into police excesses
4. Release of only those prisoners who were not charged with violence
Select the correct answer using the code given below:",1 only,"1, 2 and 4 only",3 only,"2, 3 and 4 only",b,hard
Modern History,"The Vital-Vidhvansak, the first monthly journal to have the untouchable people
as its target audience was published by",Gopal Baba Walangkar,Jyotiba Phule,Mohandas Karamchand Gandhi,Bhimrao Ranji Ambedkar,a,easy
Modern History,"With reference to land reforms in independent India, which one of the following
statements is correct?",The ceiling laws were aimed at family holdings and not individual holdings.,The major aim of land reforms was providing agricultural land to all the landless.,It resulted in cultivation of cash crops as a predominant form of cultivation.,Land reforms permitted no exemptions to the ceiling limits.,b,easy
Modern History,"Consider the following statements about ‘the Charter Act of 1813’:
1. It ended the trade monopoly of the East India Company in India except for
trade in tea and trade with China.
2. It asserted the sovereignty of the British Crown over the Indian territories held
by the Company.
3. The revenues of India were now controlled by the British Parliament.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,hard
Modern History,"With reference to Swadeshi Movement, consider the following statements:
1. It contributed to the revival of the indigenous artisan crafts and industries.
2. The National Council of Education was established as a part of Swadeshi
Movement.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,medium
Modern History,"Consider the following pairs:
Movement/Organization Leader
1. All India Anti-Untouchability League Mahatma Gandhi
2. All India Kisan Sabha Swami Sahajanand Saraswati
3. Self-Respect Movement Naicker E.V. Ramaswami
Which of the pairs given above is/are correctly matched?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",d,hard
Modern History,"With reference to the British colonial rule in India, consider the following
statements:
1. Mahatma Gandhi was instrumental in the abolition of the system of
‘indentured labour
2. In Lord Chelmsford’s ‘War Conference’, Mahatma Gandhi did not support the
resolution on recruiting Indians for World War.
3. Consequent upon the breaking of Salt Law by Indian people, the Indian
National Congress was declared illegal by the colonial rulers.
Which of the statements given above are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",b,hard
Modern History,"With reference to Indian National Movement, consider the following pairs:
Person Position held
1. Sir Tej Bahadur Sapru President, All India Liberal Federation
2. K.C. Neogy Member, The Constituent Assembly
3. P.C. Joshi General Secretary, Communist Party of India
Which of the pairs given above is/are correctly matched?",1 only,1 and 2 only,3 only,"1, 2 and 3",d,hard
Modern History,"Which one of the following groups of plants was domesticated in the ‘New World’
and introduced into the 'Old World'?","Tobacco, cocoa and rubber","Tobacco, cotton and rubber","Cotton, co�ee and sugarcane","Rubber, co�ee and wheat",a,easy
Modern History,"2018
Q1, He wrote biographies of Mazzini, Garibaldi, Shivaji and Shrikrishna; stayed in
America for some time; and was also elected to the Central Assembly. He was:",Aurobindo Ghosh,Bipin Chandra Pal,Lala Lajpat Rai,Motilal Nehru,c,easy
Modern History,"Regarding Wood's Dispatch, which of the following statements are true?
1. Grants-in-Aid system was introduced.
2. Establishment of universities was recommended.
3. English as a medium of instruction at all levels of education was recommended.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,hard
Modern History,"In the Federation established by The Government of India Act of 1935, residuary
powers were given to the",Federal Legislature,Governor General,Provincial Legislature,Provincial Governors,b,easy
Modern History,"After the Santhal Uprising subsided, what was/were the measure/measures
taken by the colonial government?
1. The territories called 'Santhal Paraganas' were created.
2. It became illegal for a Santhal to transfer land to a non-Santhal.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,medium
Modern History,"The staple commodities of export by the English East Indian Company from
Bengal in the middle of the 18th century were","Raw cotton, oil-seeds and opium","Sugar, salt, zinc and lead","Copper, silver, gold, spices and tea","Cotton, silk, saltpetre and opium",d,easy
Modern History,"Which one of the following is a very significant aspect of the Champaran
Satyagraha?","Active all-India participation of lawyers, students and women in the National
Movement","Active involvement of Dalit and Tribal communities of India in the National
Movement",Joining of peasant unrest to India's National Movement,Drastic decrease in the cultivation of plantation crops and commercial crop,c,easy
Modern History,"Who among the following were the founders of the """"Hind Mazdoor Sabha""""
established in 1948?","B. Krishna Pillai, E.M.S. Namboodiripad and K.C. George","Jayaprakash Narayan, Deen Dayal Upadhyay and M.N. Roy","C.P. Ramaswamy Iyer, K. Kamaraj and Veeresalingam Pantulu","Ashok Mehta, T.S. Ramanujan and G.G. Mehta",d,easy
Modern History,"Which one of the following foreign travellers elaborately discussed about
diamonds and diamond mines of India?",Francois Bernier,Jean-Baptiste Tavernier,Jean de Thevenot,Abbe Barthelemy Carre,b,easy
Modern History,"Which one of the following statements does not apply to the system of
Subsidiary Alliance introduced by Lord Wellesley?",To maintain a large standing army at other's expense,To keep India safe from Napoleonic danger,To secure a fixed income for the Company,To establish British paramountcy over the Indian States,c,easy
Modern History,"Which of the following led to the introduction of English Education in India?
1. Charter Act of 1813
2. General Committee of Public Instruction, 1823
3. Orientalist and Anglicist Controversy
Select the correct answer using the code given below:",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",c,hard
Modern History,"In 1920, which of the following changed its name to ""Swarajya Sabha”?",All India Home Rule League,Hindu Mahasabha,South Indian Liberal Federation,The Servants of India Society,a,easy
Modern History,Which among the following events happened earliest?,Swami Dayanand established Arya Samaj.,Dinabandhu Mitra wrote Neeldarpan.,Bankim Chandra Chattopadhyay wrote Anandmath.,"Satyendranath Tagore became the first Indian to succeed in the Indian Civil
Services Examination",b,easy
Modern History,"Q. 13. With reference to educational institutions during colonial rule in India, consider the
following pairs:
Institutions Founder
1. Sanskrit College at Benaras : William Jones
2. Calcutta Madarsa : Warren Hastings
3. Fort William College : Arthur Wellesley
Which of the pairs given above is/are correct?",1 and 2,2 only,1 and 3,3 only,b,hard
Modern History,"With reference to the religious history of India, consider the following statements:
1. Sautrantika and Sammitiya were the sects of Jainism.
2. Sarvastivadin held that the constituents of phenomena were not wholly
momentary, but existed forever in a latent form.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,hard
Modern History,"With reference to the Indian freedom struggle, consider the following events:
1. Mutiny in Royal Indian Navy
2. Quit India Movement launched
3. Second Round Table Conference
What is the correct chronological sequence of the above events?",1-2-3,2-1-3,3-2-1,3-1-2,c,hard
Modern History,The object of the Butler Committee of 1927 was to,Define the jurisdiction of the Central and Provincial Governments.,Define the powers of the Secretary of State for India.,Impose censorship on the national press.,Improve the relationship between the Government of India and the Indian States.,d,easy
Modern History,"Consider the following pairs:
Sl. No. Heading Heading
1. Radhakanta Deb : First President of the British Indian
Association
2. Gazulu Lakshminarasu Chetty : Founder of the Madras Mahajana Sabha
3. Surendranath Banerjee : Founder of the Indian Association
Which of the above pairs is/are correctly matched?",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",b,hard
Modern History,"Who among the following was/were associated with the introduction of Ryotwari
Settlement in India during the British Rule?
1. Lord Cornwallis
2. Alexander Read
3. Thomas Munro
Select the correct answer using the code given below:",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",c,hard
Modern History,"Consider the following statements:
1. The Factories Act, 1881 was passed with a view to fix the wages of industrial
workers and to allow the workers to form trade unions.
2. N. M. Lokhande was a pioneer in organizing the labor movement in British India.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,hard
Modern History,"The ‘Swadeshi’ and ‘Boycott’ were adopted as methods of struggle for the first
time during the",agitation against the Partition of Bengal,Home Rule Movement,Non-Cooperation Movement,visit of the Simon Commission to India,a,easy
Modern History,Satya Shodhak Samaj organized,a movement for upliftment of tribals in Bihar,a temple-entry movement in Gujarat,an anti-caste movement in Maharashtra,a peasant movement in Punjab,c,easy
Modern History,The Montague-Chelmsford Proposals were related to,social reforms,educational reforms,reforms in police administration,constitutional reforms,d,easy
Modern History,"Consider the following:
1. Calcutta Unitarian Committee
2. Tabernacle of New Dispensation
3. Indian Reform Association
Keshab Chandra Sen is associated with the establishment of which of the above?",1 and 3 only,2 and 3 only,3 only,"1, 2 and 3",b,hard
Modern History,"What was the main reason for the split in the Indian National Congress at Surat in
1907?",Introduction of communalism into Indian politics by Lord Minto,"Extremists’ lack of faith in the capacity of the moderates to negotiate with the
British Government",Foundation of Muslim League,"Aurobindo Ghosh’s inability to be elected as the President of the Indian National
Congress",b,easy
Modern History,The plan of Sir Sta�ord Cripps envisaged that after the Second World War,India should be granted complete independence,India should be partitioned into two before granting independence,"India should be made a republic with the condition that she will join the
Commonwealth",India should be given Dominion status,d,easy
Modern History,"Which one of the following movements has contributed to a split in the Indian
National Congress resulting in the emergence of ‘moderates’ and ‘extremists’?",Swadeshi Movement,Quit India Movement,Non-Cooperation Movement,Civil Disobedience Movement,a,easy
Modern History,"With reference to the Cabinet Mission, which of the following statements is/are
correct?
1. It recommended a Federal Government.
2. It enlarged the powers of the Indian Courts.
3. It provided for more Indians in the ICS.
Select the correct answer using the codes given below.",1 only,2 and 3,1 and 3,None,a,hard
Modern History,"Consider the following statements:
1. The first woman President of the Indian National Congress was Sarojini Naidu.
2. The first Muslim President of the Indian National Congress was Badruddin Tyabji.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,medium
Modern History,"Who of the following organized a March on the Tanjore coast to break the Salt
Law in April 1930?",V. O. Chidambaram Pillai,C. Rajagopalachari,K. Kamaraj,Annie Besant,b,easy
Modern History,"With reference to Congress Socialist Party, consider the following statements:
1. It advocated the boycott of British goods and evasion of taxes.
2. It wanted to establish the dictatorship of proletariat.
3. It advocated separate electorate for minorities and oppressed classes.
Which of the statements given above is/are correct ?",1 and 2 only,3 only,"1, 2 and 3",None,d,hard
Modern History,"Who of the following was/were economic critic/critics of colonialism in India ?
1. Dadabhai Naoroji
2. G. Subramania Iyer
3. R.C. Dutt
Select the correct answer using the codes given below.",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",d,hard
Modern History,"Consider the following languages:
1. Gujarati
2. Kannada
3. Telugu
Which of the above has/have been declared as a 'Classical Language/Languages' by
the Government?",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",c,hard
Modern History,The Radcli�e Committee was appointed to,solve the problem of minorities in India,given e�ect to the Independence Bill,delimit the boundaries between India and Pakistan,enquire into the riots in East Bengal,c,easy
Modern History,The Partition of Bengal made by Lord Curzon in 1905 lasted until,"The First World War when Indian troops were needed by the British and the
partition was ended.",King George V abrogated Curzon's Act as the Royal Durbar in Delhi in 1911,Gandhiji launched his Civil Disobedience Movement.,The Partition of India in 1947 when East Bengal became East Pakistan.,b,easy
Modern History,"The 1929 Session of the Indian National Congress is on significance in the history
of the Freedom Movement because the",attainment of Self-Government was declared as the objective of the Congress.,Attainment of Poorna Swaraj was adopted as the goal of the Congress.,Non-Cooperation Movement was launched.,Decision to participate in the Round Table Conference in London was taken.,b,easy
Modern History,The Ghadr was a,revolutionary association of Indians with headquarters at San Francisco.,nationalist organization operating from Singapore.,militant organization with headquarters at Berlin,Communist movement for India's freedom with headquarters at Tashkent.,a,easy
Modern History,"What was/were the object/objects of Queen Victoria's Proclamation 1858?
1. To disclaim any intention to annex Indian States
2. To place the Indian administration under the British Crown
3. To regulate East India Company's trade with India
Select the correct answer using the code given below:",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",a,hard
